stationName,Address,City,State,postalCode,Lat,Long,Charger type,Charger type (legend),stationModel,StationNetworkStatus,LastPortStatus,faultReason,station_label,ports_total,ports_charging,ports_occupied,ports_available,StatusTimestamp,_loaded_at_utc
NYC FLEET / DSNY_SI1A-S1,3 Muldoon Ave,Staten Island,New York,10314,40.575317,-74.19644,Level 2,Level 2 - Solar,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,Available,1,0,0,1,2025-12-17T02:34:40Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / DSNY_SI3A-S1,3 Muldoon Ave,Staten Island,New York,10314,40.57530280178956,-74.19646478220902,Level 2,Level 2 - Solar,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,Available,1,0,0,1,2025-10-16T22:04:15Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / FDNY_405LOT#1,418 A Weaver Ave,Queens,New York,11359,40.793448167436814,-73.77569886931154,Level 2,Level 2,CPF50-L18,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2026-02-03T18:25:17Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / DEP_GILBOA_1_L3,370 NY-990V,Gilboa,New York,12076,42.3966985,-74.44683810000001,Level 3,Level 3,CPE250C-500-CCS1-CHD,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2026-02-03T18:32:10Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / DEP_BXWM-S1,3201 Jerome Ave,The Bronx,New York,10468,40.87843174829478,-73.88650186931152,Level 2,Level 2 - Solar,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,Available,1,0,0,1,2025-09-15T17:05:12Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / NYPD_FBF-S1,3260 Flatbush Ave,Brooklyn,New York,11234,40.58902340838951,-73.89957598413086,Level 2,Level 2 - Solar,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,Available,1,0,0,1,2026-01-16T21:16:41Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / NYCHA_SOTOMY-S1,1741 Bruckner Blvd,The Bronx,New York,10472,40.82651,-73.86648699999999,Level 2,Level 2 - Solar,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,Available,1,0,0,1,2026-01-19T14:00:41Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / NYCHA_RAVENS-S1,35-35 21st St,Queens,New York,11106,40.7600591,-73.9354255,Level 2,Level 2 - Solar,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,Available,1,0,0,1,2025-11-27T07:05:01Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / NYCHA_CYPRHL-S1,1260 Sutter Ave,Brooklyn,New York,11208,40.6720029,-73.87158219999999,Level 2,Level 2 - Solar,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,Available,1,0,0,1,2026-01-26T11:19:18Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / DEP_ASHOKN_1_L3,2398 NY-28A,Olivebridge,New York,12461,41.94641,-74.20333,Level 3,Level 3,CPE250C-500-CCS1-CHD,,,,Charging,1,1,0,0,,2026-02-03T18:33:15.790551+00:00
NYC FLEET / DOE_MANORSI-1,1220 Manor Rd,Staten Island,New York,10314,40.596687,-74.1253,Level 2,Level 2,CT4020-HD2-GW-LTE,Reachable,AVAILABLE,NONE,Available,2,0,0,2,2026-02-03T18:27:04Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / DSNY_Q09-2,132-05 Atlantic Ave,Queens,New York,11418,40.69679266284541,-73.81687078836059,Level 2,Level 2,CT4020-HD-GW,Reachable,AVAILABLE,NONE,Available,2,0,0,2,2026-02-03T18:27:51Z,2026-02-03T18:33:15.790551+00:00
